,tweet_id,label,text,n2v
0,551099691702956032,True,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL,"[ 8.1714513e-03 -4.4467016e-03  9.0657501e-03  8.3519006e-03
 -4.4737067e-03  2.8955773e-04  4.3408251e-03 -3.9055916e-03
 -5.6403382e-03 -6.5538040e-03 -6.7191594e-04 -3.1419453e-04
  4.4769952e-03 -2.4498908e-03 -1.7120887e-04  2.4728202e-03
  4.9297819e-03  6.8590548e-06 -6.4308778e-03 -9.3683274e-03
  4.7719688e-05  6.7128912e-03  1.5342631e-03 -9.0451865e-03
 -7.9431813e-03  6.5740007e-03 -3.8195616e-03  6.2919995e-03
 -6.7461263e-03  8.5455002e-03 -6.5392386e-03  3.2788990e-03
 -1.0405858e-03 -6.8591293e-03 -3.3362503e-03 -1.1537328e-03
 -5.4764519e-03 -1.2154217e-03 -7.5731822e-03  2.6335802e-03
  9.1225635e-03 -2.3829930e-03 -1.0479630e-03  3.5062260e-03
  8.7066144e-03 -5.9308140e-03 -6.9485833e-03 -2.9465242e-03
  9.2305942e-03  8.8979048e-04 -8.7483646e-03 -1.4821121e-03
  9.4907694e-03 -7.5902706e-03 -5.3816880e-03  9.3731703e-03
 -8.9769606e-03  3.7961458e-03  6.4519630e-04  6.7130523e-03
  8.3317179e-03 -2.8778196e-03 -4.0265652e-03  8.8907471e-03
  2.0764354e-03  6.3344571e-03 -9.4785597e-03  9.6488027e-03
 -1.3802173e-03 -6.0437624e-03  3.0073323e-03 -4.3479164e-04
  4.7449335e-03 -2.2954901e-03 -4.1497396e-03  2.2779284e-03
  8.4360214e-03 -5.0179297e-03  2.6529634e-03 -8.0672400e-03
 -6.8221730e-03 -4.9714709e-04 -8.7969163e-03  2.8311163e-03
  1.5779755e-03 -2.3589823e-03  5.0462843e-03  9.7461604e-03
  8.4910179e-03 -1.8821802e-03  2.0850135e-03 -4.0206211e-03
 -8.2644997e-03  6.2868143e-03 -1.9185608e-03 -6.4127933e-04
 -1.7803629e-03 -4.5722802e-03  4.0705139e-03 -4.2536957e-03]"
1,514106273852174337,True,just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL,"[ 0.01786855 -0.00920228 -0.02244673 -0.02875075  0.00078134  0.0177313
  0.00019418 -0.01402653 -0.00120331  0.01310802 -0.01751551  0.00658493
  0.01619795 -0.02920086  0.01385728 -0.01493325 -0.01499832 -0.00773731
  0.02140424 -0.0002604  -0.022904    0.00730253 -0.01029769  0.00923352
 -0.02115504  0.00832282 -0.0023496  -0.01992645  0.00562457 -0.00353343
  0.00551506  0.00690761  0.0021953   0.00597893 -0.01753432  0.00349828
 -0.03210931 -0.01055169 -0.03013415 -0.01699437 -0.00161469 -0.00405733
  0.02790397  0.02934767  0.02424723 -0.02462807  0.00780774 -0.0268201
 -0.00855319 -0.01694339 -0.00298573 -0.00406717  0.00824833 -0.00894483
 -0.03142203 -0.01473181 -0.02786584  0.00123098  0.00801166 -0.04782191
  0.02893698 -0.00686013  0.03825513  0.03308075 -0.02306747  0.00653398
 -0.02149164  0.00982157 -0.03481176 -0.00553977 -0.0057705   0.02153575
  0.01011619  0.00487504  0.00333184  0.02118653 -0.00244735  0.01962122
 -0.01716064  0.0312541   0.01913602 -0.02509007 -0.03503699  0.00700286
  0.00367201 -0.00101765 -0.00070566  0.02605326 -0.00429067 -0.01197533
 -0.00073857  0.0116275  -0.00355034  0.00943017  0.01560296  0.001968
  0.01896611  0.01875001  0.01915137 -0.02334696]"
2,495366618818830336,False,#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.,"[ 7.3294872e-03 -3.3955725e-03  1.6152659e-04  2.2803848e-03
 -2.6699959e-03 -6.1379657e-03  1.0578500e-02  6.6955485e-03
 -6.3365335e-03 -4.0251431e-03  1.0036698e-02 -8.6117251e-04
 -9.1696664e-04  1.1777668e-02 -4.0818076e-03  4.3343662e-05
  1.2645954e-02  6.3842493e-03  4.1558375e-04 -1.6121756e-02
  5.4917987e-03 -1.1391538e-03  1.5721504e-02 -1.2997915e-03
  4.7190675e-05  5.3442805e-03 -4.6999296e-03 -2.5795510e-03
  4.9692340e-04 -9.9264039e-04  8.0945417e-03  1.0526684e-02
  9.9976861e-04  2.4740488e-04 -5.4878672e-03  6.5674731e-03
 -5.5430806e-03 -9.9112280e-03 -6.2242509e-03 -1.0579178e-02
  1.0584237e-02 -8.6350534e-03  4.0855501e-03 -9.1244057e-03
  7.4751512e-03  1.3745378e-02 -8.4184548e-03 -9.8926714e-03
 -6.1339564e-03 -4.7582150e-03 -1.1482217e-03 -9.6022924e-03
 -9.3149589e-03  5.6232312e-03 -9.5268115e-03 -7.2698658e-03
 -2.6431491e-03 -8.6006895e-03 -7.6221884e-03 -2.7676832e-03
 -1.0107011e-03 -4.9926662e-03  4.5063146e-03 -3.5547366e-04
 -1.7655223e-03  9.6903602e-03 -7.3114745e-03 -5.1998016e-03
 -6.2667746e-03 -3.9953901e-03 -1.7457769e-03  8.7486543e-03
 -6.4559317e-05  8.4545268e-03  1.0398492e-02 -7.7772141e-03
  2.5948156e-03  4.9623894e-03 -2.6391123e-03  5.4216371e-03
  5.6638257e-03 -4.9321502e-03 -5.3715589e-03  3.1760547e-03
 -2.7239365e-03 -6.7116045e-03  1.5236522e-02 -7.2046267e-03
 -6.7264638e-03 -7.9935696e-04  2.2985644e-03 -1.1599563e-04
 -3.7394024e-03 -1.7493343e-03  2.9406056e-03  6.8532303e-04
  1.1886786e-02 -1.0727204e-02 -5.7152831e-03  7.7238162e-03]"
3,532206910796468224,False,a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL,"[-1.9136884e-03 -5.2636331e-03  9.4609978e-03 -9.2777945e-03
  4.5191157e-03  5.4097325e-03 -1.3866121e-03  9.0730609e-03
  9.8652691e-03 -5.4873112e-03 -6.0371063e-03 -6.7698569e-03
 -7.9031484e-03 -3.0676660e-03 -5.5947988e-03 -8.3844876e-03
  8.0952363e-04  3.0162483e-03  6.4251451e-03 -2.6634780e-03
 -4.4485410e-03  1.2563453e-03  4.3098291e-04  8.1165312e-03
  1.7278684e-04  7.2524752e-03 -8.2803005e-03  8.4678819e-03
 -1.8877892e-03  8.7352414e-03 -7.6340763e-03  1.7846873e-03
  1.0649608e-03  3.0896452e-05 -5.1039038e-03 -9.2612710e-03
 -7.2743585e-03 -7.9838261e-03  1.9049247e-03  4.5391190e-04
 -1.8145094e-03  7.1255090e-03 -2.4695019e-03 -1.3249855e-03
 -8.8983858e-03 -9.9243270e-03  8.9602033e-03 -5.7641701e-03
 -6.3848090e-03  5.1959711e-03  6.6934275e-03 -6.8839607e-03
  9.6060726e-04 -6.0441298e-03  1.6378505e-03 -4.3040481e-03
 -3.4522989e-03  2.1894046e-03  8.6821867e-03  6.7268261e-03
 -9.6912235e-03 -5.6369877e-03  7.9097813e-03  1.9991796e-03
 -4.2917100e-03  6.2209752e-04  9.5353033e-03 -1.0476256e-03
 -9.4798803e-03  1.6268606e-03  6.2529021e-03  6.2994915e-03
  4.1363374e-03 -5.6424621e-03 -3.7397229e-04 -6.1861298e-05
  4.6105906e-03 -8.0547333e-03 -8.0578970e-03  2.3286502e-04
 -8.6538754e-03  5.8463016e-03 -4.4880886e-04  9.9687809e-03
 -5.3652115e-03 -5.2876247e-04  7.7793649e-03 -4.0877471e-03
 -5.0280178e-03  1.5841612e-03  2.6816353e-03 -2.5957027e-03
  6.4455606e-03 -7.6456862e-03  3.4610811e-03  4.8716005e-04
  8.7639419e-03  5.9797508e-03  6.8126428e-03  7.8209275e-03]"
4,560187970389819392,False,islamic tribunal using sharia law in texas has been confirmed URL @breitbartnews #a4a URL,"[ 0.00708601  0.22188838  0.02436673  0.15562207  0.10366964 -0.18661326
  0.07607733  0.3045753  -0.0840434  -0.20056789  0.08222443 -0.20915262
  0.08477395  0.09873081  0.22747014  0.02305037  0.13790356 -0.04202127
 -0.06805805 -0.28794843  0.0411406   0.07426375  0.12911704 -0.08091999
 -0.05124023  0.09614484 -0.1612211   0.05254158  0.04799196  0.00808959
  0.16048704 -0.1910473   0.08809134 -0.03161653 -0.16831246  0.20665118
  0.10454779 -0.02783597 -0.12278859 -0.12300788  0.03125739  0.02124708
 -0.01363582  0.06141705  0.01036966  0.0253007  -0.11782726 -0.11376129
  0.0023259   0.07966885  0.10396466 -0.21257798 -0.175568   -0.0410116
 -0.09463203 -0.02974476  0.12229738 -0.01044132 -0.00653406 -0.06458817
 -0.15475562 -0.00728088  0.23141555  0.01620573 -0.17544806  0.21093042
 -0.02808632  0.05955649 -0.21269408  0.0854806  -0.02492042  0.14216678
  0.02418735  0.08131067  0.11912593 -0.00106461  0.01455451  0.05963536
 -0.13130622  0.02677042 -0.16752306 -0.00644398 -0.00842482  0.1152816
  0.04788043 -0.01295405  0.135558   -0.09383969  0.10488631  0.06932956
  0.03871061  0.07507569 -0.0056399   0.04562709  0.2087638   0.03343953
  0.10889682 -0.01979064  0.00404089  0.13341826]"
5,531568534066057217,False,alpha male rt @marc_leibowitz: photo of vladimir putin's motorcade. posted without comment. URL,"[ 0.0021079   0.0059977  -0.00210891  0.00330552  0.00865994  0.00027242
  0.00645727 -0.00649967  0.00653214  0.00455762  0.00522391 -0.01042796
 -0.00043752  0.00335229 -0.00604451 -0.0069789   0.00669864 -0.00701264
 -0.00524878  0.00791152 -0.00703487  0.0088941   0.00071497  0.00453581
 -0.00304087 -0.00556014 -0.00921766 -0.00075831 -0.00524892 -0.00305094
  0.00844137 -0.00775996 -0.0063139  -0.00561576 -0.00677573 -0.00882796
 -0.00090995  0.00953362  0.00816329 -0.00556327 -0.00821521 -0.00250785
 -0.00928592 -0.00511022 -0.00584066  0.00302142 -0.00785945  0.00120774
  0.00253163  0.00555729 -0.00198598 -0.01007154  0.00527728 -0.00597077
  0.00506306  0.00209008  0.00915696  0.00156824 -0.00187424  0.00676619
 -0.00711543 -0.00853736  0.00412329 -0.00257184 -0.00448161 -0.00192567
 -0.01012744  0.0004586  -0.00115201 -0.00284493  0.0025795   0.00484903
  0.00674321 -0.00790816 -0.00485287 -0.0089115  -0.00899818 -0.00371728
 -0.00147839 -0.00835178 -0.00548302 -0.0021809   0.00630395  0.00177459
  0.0083853  -0.00849731 -0.00455498 -0.00064039  0.00916298  0.00122425
  0.00179656  0.00142876  0.00302212 -0.00936555  0.00363838  0.00570407
  0.00553207  0.00434534 -0.00819978 -0.00421825]"
6,489829414704648192,False,เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL,"[-1.96519817e-04  4.53790324e-03  2.13789498e-03  1.00177275e-02
  6.85075589e-04 -5.76668233e-03 -1.13055483e-03  2.81961379e-03
 -3.45275667e-03 -8.33276380e-03 -5.69856958e-03 -6.97803125e-03
  6.62848074e-03  4.25241562e-03  8.71393271e-03  6.63449243e-03
 -6.29629428e-03  2.66717351e-03  8.67771357e-03  1.16697629e-03
  3.31031810e-03  6.02223398e-03 -8.93060863e-03  9.35130753e-03
  6.92520617e-03  8.50327872e-03 -8.64145625e-03  6.11115666e-03
  6.78361766e-03 -1.27074786e-03 -6.41674642e-03  5.55136055e-03
 -6.70072250e-03 -5.98529959e-03  3.61532136e-03  8.56574718e-03
  8.68857931e-03 -4.63996502e-03 -9.59395431e-03  9.74242110e-03
  6.58975495e-03 -4.15203860e-03 -8.75392463e-03 -4.91960114e-03
 -3.82863078e-03 -3.49047245e-03  4.76251676e-04 -6.90941524e-04
 -3.01723089e-03 -6.07688306e-03  9.82021820e-03 -4.84664040e-03
 -7.66557502e-03  7.87340757e-03  2.69051199e-03  8.92913342e-03
 -4.69854055e-03 -7.13564781e-03  9.33591917e-04 -1.09512487e-03
 -9.54478886e-03 -1.71519374e-03  3.25088785e-03  6.92792935e-03
  6.90991338e-03  3.50095797e-03 -4.23074095e-03 -1.80151744e-03
 -4.55028750e-03  6.00500870e-03 -6.59719715e-03  2.30063382e-03
 -1.27297861e-03 -5.85702062e-03 -7.14800507e-03  6.20379951e-03
 -8.56733508e-03 -7.20400829e-04  2.70436285e-03  8.22849013e-03
 -7.45178061e-03  3.23097478e-03  9.96669475e-03 -7.00365612e-03
 -3.76180327e-03  5.35415532e-03  5.46549493e-03  1.91214832e-03
  8.57072603e-03  1.02139718e-03  2.17049033e-03 -1.58938684e-03
 -8.43144301e-03  3.20837484e-03  2.03502970e-03 -8.79224017e-03
 -6.05242443e-04 -1.14942712e-04  7.12860856e-05  8.97323154e-03]"
7,520284654755381249,False,"report: amazon plans to open its first physical store, in new york URL","[-8.3213197e-03  9.3535623e-03 -2.1188904e-04 -1.9573777e-03
  4.5881211e-03 -4.1239234e-03  2.7356662e-03  6.9940411e-03
  6.0781338e-03 -7.5269127e-03  9.3895700e-03  4.6787821e-03
  3.9609508e-03 -6.2536476e-03  8.4914612e-03 -2.1734769e-03
  8.8807764e-03 -5.3908969e-03 -8.1872540e-03  6.8418263e-03
  1.6654414e-03 -2.2192989e-03  9.5624086e-03  9.5360000e-03
 -9.7872503e-03  2.5323664e-03  6.1630649e-03  3.8862000e-03
  2.0158577e-03  4.6350725e-04  7.1157463e-04 -3.8669668e-03
 -7.1292575e-03 -2.1151439e-03  3.9345287e-03  8.8552022e-03
  9.3159145e-03 -6.0023856e-03 -9.4062584e-03  9.7871125e-03
  3.4374972e-03  5.1497649e-03  6.2767765e-03 -2.8243670e-03
  7.3420345e-03  2.8321990e-03  2.8931873e-03 -2.3860915e-03
 -3.1428551e-03 -2.3909104e-03  4.2844126e-03  6.4905558e-05
 -9.6466709e-03 -9.6689248e-03 -6.1766920e-03 -1.1758904e-04
  2.0359324e-03  9.4476659e-03  5.5973236e-03 -4.2989897e-03
  2.8622060e-04  5.0076321e-03  7.7140005e-03 -1.1428035e-03
  4.3613412e-03 -5.8081253e-03 -7.7240024e-04  8.1421165e-03
 -2.3635242e-03 -9.6893301e-03  5.7997904e-03 -3.9264141e-03
 -1.2364626e-03  1.0011304e-02 -2.2607089e-03 -4.7527286e-03
 -5.3812307e-03  7.0298756e-03 -5.7140035e-03  2.1121807e-03
 -5.2628815e-03  6.1226934e-03  4.4110622e-03  2.6308210e-03
 -1.4929052e-03 -2.7680243e-03  9.0232976e-03  5.2395868e-03
 -2.1815838e-03 -9.5048090e-03 -7.4468246e-03 -1.0522541e-03
 -7.9928734e-04 -2.6146260e-03  9.7180652e-03 -4.7371129e-04
  5.9165978e-03 -7.4905851e-03 -2.5243736e-03 -5.5595832e-03]"
8,565999191982616577,True,"let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis URL","[-0.00715412  0.00125945 -0.00717016 -0.00223757  0.00372356  0.00583288
  0.00119817  0.00211799 -0.00411585  0.00722581 -0.00629987  0.00463985
 -0.00821985  0.00205042 -0.00498759 -0.00425315 -0.0030907   0.00566524
  0.00580184 -0.00499407  0.00077627 -0.00850685  0.00781701  0.00926009
 -0.00274671  0.000814    0.00074738  0.00549898 -0.00860682  0.00059219
  0.00688163  0.00222259  0.00112408 -0.00935133  0.00847657 -0.00628567
 -0.0029794   0.00348454 -0.00077907  0.00140582  0.00177908 -0.00683879
 -0.00974295  0.00905138  0.00620632 -0.00693253  0.00341062  0.00019472
  0.00474164 -0.00712105  0.00402478  0.00435648  0.00995323 -0.00447674
 -0.00138792 -0.00732898 -0.00970855 -0.00909179 -0.00102277 -0.00649727
  0.00485292 -0.00619091  0.00252784  0.00074698 -0.00338697 -0.00097888
  0.01000558  0.00914992 -0.00446993  0.00911537 -0.00564418  0.00593485
 -0.00308853  0.00343614  0.00302463  0.00691112 -0.00237841  0.00879052
  0.00758764 -0.00956059 -0.00803965 -0.00764096  0.00292982 -0.00279775
 -0.00694312 -0.00813576  0.00832769  0.00200055 -0.00934036 -0.00479051
  0.00314623 -0.00471834  0.00529673 -0.00424117  0.00265164 -0.00804047
  0.00622058  0.00483473  0.00078778  0.00303234]"
9,554343513887105024,False,a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique: URL,"[-9.78355762e-03  8.59648269e-03  1.88078894e-03  5.49290236e-03
  7.40066590e-03  7.52651365e-03  7.89196882e-03 -9.94537771e-03
 -6.63294178e-03  7.27006979e-03  1.01350306e-03 -2.28985818e-03
  1.39334565e-02 -8.33080616e-03  1.15893846e-02 -2.16029375e-03
 -9.61611234e-03 -6.88627595e-03 -4.25744196e-03 -2.42605968e-03
 -1.65694824e-03  1.06044440e-02  4.93730372e-03 -3.68412375e-03
 -8.66411079e-04  3.16891121e-03 -1.82803813e-03 -1.32758375e-02
  3.72015755e-03 -1.00473007e-02  7.54051795e-03 -4.75232955e-03
  2.37435219e-03  1.43083762e-02 -2.67160591e-03  4.25706711e-03
 -5.05778287e-03  7.20191281e-03 -5.64063550e-04 -1.28404256e-02
 -1.20766344e-03  3.97918746e-03  6.12479122e-03  1.16148707e-03
  1.75315398e-03 -5.48020704e-03 -7.44681223e-04  9.58133896e-04
 -5.34866424e-03 -7.08441297e-03 -1.55918533e-04  2.84375437e-03
  2.26943567e-03 -7.47182127e-03  1.66598114e-03 -3.13594961e-03
 -1.35688239e-03  9.30913433e-04  9.38552339e-03 -1.33693768e-02
 -3.57044395e-03 -5.47108008e-03  1.56638511e-02  3.32631986e-03
 -1.17455926e-02 -3.13633331e-03 -7.55542610e-03  6.70548761e-03
 -1.38529046e-02  1.55755726e-03 -1.13987513e-02  3.08239018e-03
  4.10708785e-03  9.83695313e-03 -8.08099657e-03 -4.83244611e-03
 -6.61808625e-03 -6.59564091e-03 -1.25627378e-02  1.79634721e-03
  1.74413458e-03 -1.08988425e-02  2.90989643e-03  3.02360626e-03
  7.28851976e-03  4.16443800e-04  2.69284556e-06 -1.06410892e-03
 -7.94259249e-04  5.95693802e-03 -6.42229570e-03  3.51716136e-03
  1.90100144e-03  1.43376505e-03  1.11167403e-02  9.04348493e-03
  4.83545614e-03  1.17422771e-02  1.08015472e-02 -8.87672510e-03]"
