,Unnamed: 0,tweet_id,label,text,n2v,bert_embeddings
0,0,656955120626880512,0,correct predictions in back to the future ii ,"[-0.00762425  0.00446779  0.00226007  0.00756337 -0.00515571 -0.00532565
 -0.00605226  0.00367514 -0.00493118  0.00875154 -0.00463609 -0.00997164
 -0.00505074  0.00680993 -0.00666721 -0.00554925 -0.00761497  0.00634008
  0.00335869  0.00291534 -0.00313136  0.00604112 -0.00652202 -0.0022191
 -0.00640019 -0.00134916 -0.002216    0.0090295  -0.0001533  -0.00902665
 -0.00517521 -0.00729758  0.00304416  0.00977109 -0.00614748  0.00909571
  0.00920932 -0.00731318 -0.00920232  0.00970729  0.00876225 -0.00521519
 -0.00748463  0.00838396  0.00411193  0.0083484  -0.00791864 -0.01005437
  0.00196024 -0.0102111  -0.00497403 -0.00373269  0.01021611  0.00891766
 -0.00313311  0.00590381  0.00867623 -0.00258229  0.00970762  0.00739675
  0.00237591 -0.00419688 -0.00510727 -0.00314223  0.00797382 -0.00610454
 -0.00320328  0.00973184  0.00330819  0.00663647 -0.00855193 -0.00045264
  0.006132   -0.00478418  0.00841658  0.00972399 -0.00049676 -0.00216772
 -0.0007699  -0.00611875 -0.0089525  -0.00166036 -0.0030739   0.00475899
 -0.00735672  0.00554185 -0.00663667 -0.00810136  0.00890344  0.00947389
 -0.003275    0.00377063 -0.00609261 -0.00895922 -0.00509573  0.00713998
  0.00678291  0.00985818  0.00728647  0.00684389]","tf.Tensor(
[[-0.28490245  0.03027928 -0.35522807 ... -0.34918293  0.09213661
   0.37268054]
 [-0.297482    0.068717   -0.00223653 ... -0.2595628   0.5241308
   0.4941352 ]
 [ 0.04715318  0.3151119  -0.17166562 ... -0.83337015 -0.17049286
   0.81012714]
 ...
 [-0.18436186 -0.33319744 -0.04453492 ... -0.06714319  0.21674526
   0.05102478]
 [-0.39132679 -0.40901053  0.04002812 ...  0.00469085  0.3066539
  -0.10896519]
 [-0.34448177 -0.70201534 -0.11192454 ...  0.1165229   0.30235437
  -0.06766581]], shape=(34, 768), dtype=float32)"
1,1,615689290706595840,1,whitehouse in rainbow colors for scotusmarriage heres what i think about that decision ,"[ 1.0747573e-02  8.3540622e-03  1.4712963e-03  5.7359636e-03
  9.2302961e-04 -6.7371344e-03 -1.5775302e-03  6.5122065e-03
 -5.0766096e-03 -4.6838764e-03  5.3708465e-03  3.0611819e-03
 -1.7054316e-03 -3.0606459e-03  6.3460148e-03 -5.9157694e-03
 -3.5183369e-03 -8.0219656e-03 -3.7869199e-03 -9.3508502e-03
 -4.6377489e-03 -8.4376046e-03  1.5418130e-03 -8.9221010e-03
 -1.0874531e-02 -8.4158266e-03 -7.9104062e-03  6.9562155e-03
  4.3855342e-03  4.8206720e-04 -2.9443104e-03 -7.9166964e-03
  7.2908681e-04  1.3821226e-03  5.9277254e-06  1.1353405e-03
  2.0313932e-04 -3.5889927e-04 -9.1145989e-03 -6.2992317e-03
 -8.4878756e-03 -1.5420344e-03  2.4251351e-03  7.9674972e-03
 -1.8243956e-03 -2.6834472e-03  9.8572420e-03 -3.5355898e-04
 -2.5067003e-03  9.0172216e-03  2.7384511e-03 -5.2241297e-03
  7.1856473e-03  4.7310223e-03 -7.5701335e-03 -3.4934210e-04
  2.9147990e-04  6.2049292e-03 -1.4885450e-03 -3.2391080e-03
  1.6437554e-03  1.0165324e-03  1.9308622e-03 -2.6833594e-03
 -6.4373044e-03  7.8104744e-03  7.0880395e-03  8.4611103e-03
 -9.4134025e-03  2.1733320e-03 -3.6823065e-03  1.0482903e-02
  2.5410759e-03  4.9670665e-03  2.4805609e-03  6.6207219e-03
 -6.2344042e-03  8.0961864e-03 -2.8062926e-03 -4.3107248e-03
 -1.8232813e-03  1.0360054e-02 -7.7375448e-03 -1.7799337e-03
  7.6030018e-03  1.7497428e-04 -6.5451171e-03 -6.3966471e-03
  9.8731834e-03  6.9553507e-03  4.6641608e-03 -3.4954508e-03
 -1.0246046e-02  3.7086110e-03  7.2534177e-03 -6.1635072e-03
 -8.1332140e-03 -3.2549014e-03 -4.3637007e-03 -2.7511402e-03]","tf.Tensor(
[[-0.29700235  0.08686341  0.10840752 ... -0.23253798  0.46224523
   0.558285  ]
 [ 0.22178277  0.21450174 -0.49980676 ... -0.32792586  0.72230065
   0.47739956]
 [ 0.40003636  0.19355413 -0.3102638  ... -0.25351506  0.15618426
   0.22583893]
 ...
 [-0.05198045 -0.18535717  0.31581837 ... -0.23921907  0.03767884
   0.11660037]
 [-0.17607377 -0.21250543  0.34410372 ... -0.10937515  0.13941045
  -0.00509083]
 [-0.13150816 -0.26351348  0.3470559  ... -0.21972202  0.0466811
   0.03184947]], shape=(34, 768), dtype=float32)"
2,2,613404935003217920,0,cops bought the alleged church shooter burger king hours after killings ,"[-1.56364236e-02  6.27681240e-03 -5.07646333e-03  9.68015566e-03
  6.47497876e-03  2.34050048e-03  1.20829204e-02  2.50414629e-02
 -2.33156513e-02  3.16872052e-03 -8.26723967e-03 -3.64753953e-03
 -1.35716526e-02  1.63314231e-02 -5.51858824e-03 -1.03046894e-02
  6.36214856e-03  2.34553609e-02 -1.17407870e-02 -2.57687662e-02
  8.91253725e-03 -1.49093373e-02  2.12907754e-02  5.59222000e-03
  1.37074823e-02 -6.47581555e-03  2.76013324e-03  2.12285127e-02
 -2.62702517e-02  5.28665073e-03  8.77904333e-03 -4.13434301e-03
  2.67429487e-03 -3.30497473e-02  7.62010785e-03 -6.61123777e-03
  1.35377450e-02  4.74767946e-03  7.15666730e-03  3.24462773e-04
 -7.22797913e-03 -8.69715679e-03 -3.05698216e-02  1.59277655e-02
  1.67027414e-02 -2.79179076e-03 -3.33770760e-03  1.22665688e-02
  1.21640880e-02 -2.03263690e-03  1.87867600e-03  3.12077813e-03
  6.77236309e-03 -9.26695205e-03 -4.48040152e-03 -1.69978160e-02
 -4.37123654e-03 -2.19696146e-02 -1.45903351e-02  2.93438928e-03
  3.05073499e-03 -9.20831133e-03  5.64498315e-03 -1.33421989e-02
 -1.09627908e-02  1.36341155e-02  2.79568937e-02  2.98187658e-02
 -1.32953115e-02  2.37411931e-02 -1.57648519e-05  2.36924477e-02
  2.68273498e-03  6.95126364e-04  9.63122491e-03  1.34720029e-02
  7.77930021e-03  1.24751162e-02  9.42491740e-03 -2.85213776e-02
 -1.54066151e-02 -1.28498012e-02  8.43394268e-03  3.48610629e-04
 -1.32723888e-02 -2.09226366e-02  2.25950181e-02 -9.37915966e-03
 -9.13339946e-03 -2.59931083e-03  5.30793937e-03  5.19299239e-04
  1.67941153e-02 -1.37383537e-02  2.46902611e-02  4.21401625e-03
  6.71091070e-03 -4.83079441e-03  7.50329020e-03  1.16097173e-02]","tf.Tensor(
[[ 0.14020562 -0.01347682  0.20849055 ... -0.05609415  0.40384582
   0.14220642]
 [ 0.69398284 -0.3982098   0.24028474 ... -0.5342053   0.8644406
  -0.40665755]
 [ 0.25403085 -0.58950394  0.59247464 ... -0.10995993  0.6818388
  -0.04364409]
 ...
 [ 0.17707576 -0.23512049  0.3930725  ...  0.39902553  0.42847127
  -0.15733159]
 [ 0.1504342  -0.20348452  0.3820799  ...  0.4402074   0.4497257
  -0.10238808]
 [ 0.05297268 -0.19990845  0.32637328 ...  0.4831774   0.5260916
   0.06375296]], shape=(34, 768), dtype=float32)"
3,3,614467824313106432,1,god put a rainbow over the white house ,"[-1.8336594e-03  8.0324775e-03 -3.5487388e-03  4.0868991e-03
  4.8392577e-04 -1.5178251e-04  1.2464004e-04 -7.2985990e-03
  8.5732173e-03  6.7995372e-03 -1.0049433e-02 -9.0102525e-03
  2.9090929e-03  5.6347193e-04 -2.5915937e-03  8.9519322e-03
 -8.8797295e-03 -3.4154174e-03  8.6775208e-03 -2.2959916e-03
 -5.5319020e-03  9.4786286e-03  6.9068363e-03 -4.2989231e-03
 -8.5263643e-03 -3.3818962e-04  9.0755867e-03 -3.9551612e-03
  4.3474692e-03 -1.7756490e-03  5.5897497e-03 -9.1842539e-04
  6.3143377e-03  9.6442010e-03 -9.3950685e-03  8.4052486e-03
 -8.3639883e-03 -1.1470153e-02  4.7415523e-03  1.1077060e-04
  5.8616623e-03 -1.1249404e-02  8.3508594e-03 -7.8116064e-03
 -6.0283653e-03  1.5175726e-03 -4.8476807e-03  2.5248167e-03
 -5.4801032e-03 -6.6305776e-03  6.6580959e-03 -2.9933413e-03
  7.6180142e-03 -3.4477510e-03 -8.3134091e-04  4.8189042e-03
  7.6519013e-03 -1.7307169e-03 -1.1235462e-02 -2.3037428e-03
  8.2968036e-03  6.9884676e-03 -7.5779893e-03  3.4243613e-03
  9.6634030e-03 -7.6733525e-03  7.0171786e-04  1.3225405e-03
 -7.7037825e-03 -5.0100400e-03  4.7421753e-03 -5.0023524e-03
 -4.1703470e-03  2.3474800e-03  1.1141192e-02  8.5972752e-03
 -5.9722438e-03 -2.6633302e-03  8.4609231e-03  1.0029158e-03
 -5.8697020e-03 -8.4392335e-03 -6.3234605e-03  7.0421631e-03
  1.6527920e-03 -6.3764546e-03  6.8510217e-03 -8.5858093e-04
  5.7066802e-04 -5.3960877e-03  4.2649801e-03  1.3490709e-03
  1.6534853e-03 -3.7155231e-03 -2.5039103e-03 -2.6189899e-05
 -3.0987430e-03 -2.4273563e-03  8.3050244e-03  2.0128011e-03]","tf.Tensor(
[[-0.09206266  0.41433558 -0.09358242 ... -0.43273196  0.46207708
   0.24379958]
 [ 0.22738868  0.35377768 -0.3385824  ... -0.10389886  0.6884906
   0.15675503]
 [ 0.5592763   0.05875509  0.2082106  ... -0.16711466  0.8228202
  -0.32837987]
 ...
 [ 0.1822536   0.10215719  0.46546876 ... -0.24047205  0.3242412
   0.00588741]
 [-0.07385209  0.24199623  0.4367283  ... -0.27051184  0.25993794
  -0.09969429]
 [-0.2628679  -0.09487666  0.16076085 ... -0.01910347  0.5096733
  -0.14222139]], shape=(34, 768), dtype=float32)"
4,4,622891631293935616,0,wakeupamerica who needs a gun registry when obama has all your personal information ,"[-0.00718374  0.00133574 -0.00725186 -0.00223356  0.00377114  0.00580507
  0.00125221  0.00217189 -0.00421211  0.0072424  -0.00634391  0.0046011
 -0.00826423  0.00211385 -0.00502623 -0.0043065  -0.00309949  0.00575424
  0.00582732 -0.00511299  0.00085929 -0.00852304  0.00793915  0.00934915
 -0.00283331  0.00082583  0.00076993  0.00551658 -0.00867335  0.00063036
  0.00694888  0.00227849  0.0011269  -0.00943904  0.00849219 -0.00626566
 -0.00301355  0.00352422 -0.00081034  0.00140621  0.00189618 -0.00693526
 -0.00980705  0.00908232  0.00625647 -0.00692671  0.00341246  0.00016689
  0.00482461 -0.00719271  0.004052    0.00432778  0.0100458  -0.00452765
 -0.00142414 -0.00738855 -0.0097721  -0.00922109 -0.00109203 -0.00652576
  0.00491368 -0.00619967  0.00257425  0.00076123 -0.00339306 -0.00088322
  0.01005566  0.00921907 -0.00458308  0.00915363 -0.00568663  0.00601105
 -0.00308023  0.00346338  0.00311554  0.00703957 -0.00237443  0.00889655
  0.00762795 -0.00969578 -0.00811232 -0.0077333   0.0029094  -0.00278932
 -0.00702786 -0.00822667  0.00846837  0.00201841 -0.00933379 -0.00486094
  0.00322167 -0.00473482  0.00533053 -0.00428674  0.00267251 -0.00812948
  0.00628722  0.00477475  0.00084432  0.00306273]","tf.Tensor(
[[-0.1097031  -0.02752355 -0.08408801 ... -0.87426466 -0.00383882
   0.17880903]
 [ 0.07147743  0.5537711   0.66173214 ... -0.04773246  0.68055385
  -0.5437279 ]
 [-0.62171614 -0.23056214  0.68964565 ... -0.4557155   0.45202392
  -0.22131702]
 ...
 [ 0.026156   -0.09922639  0.28465948 ... -0.41200656 -0.02533776
  -0.28318405]
 [-0.09979643 -0.36094415  0.41153836 ... -0.29517123  0.05803166
   0.09751894]
 [ 0.07555076 -0.08647917  0.4406425  ... -0.3965631   0.0268659
  -0.0496117 ]], shape=(34, 768), dtype=float32)"
5,5,553589051044151296,1,several hostages freed at jewish supermarket in paris photo thomas samson afp ,"[ 7.7244542e-03  9.2441682e-03  1.2588566e-03 -8.3615985e-03
  8.5147722e-03 -3.8145394e-03  5.9103291e-03  4.6098847e-03
  9.6892174e-03 -9.4360653e-03  9.2985937e-03 -9.5029240e-03
 -7.0189997e-03 -9.0856673e-03 -5.6324583e-03  7.4076541e-03
  9.1909543e-03 -3.3894114e-03  3.6868318e-03 -3.7665828e-03
  8.0569889e-03  6.0080639e-03  3.5835044e-05 -3.6028442e-03
 -7.3282328e-03  4.8125102e-03  1.5011663e-03 -2.7040411e-03
  7.8505110e-03 -4.2039319e-03 -9.0508126e-03 -2.3599528e-03
  1.2900950e-04 -6.7757256e-03 -5.5476078e-03 -8.5558314e-03
  9.4241835e-03  7.4768094e-03 -2.7863489e-04  7.3206588e-03
  8.0792410e-03 -8.6775376e-04  6.5865288e-03  3.8763164e-03
  5.1587806e-03  7.2145979e-03 -4.8173270e-03 -2.1734657e-03
  9.4042346e-04  4.3404894e-03  3.3193075e-03  5.0128000e-03
  4.6151849e-03 -8.5795308e-03 -3.0948417e-03 -7.3000458e-03
  9.7626606e-03  5.0637503e-03  5.8363305e-05  4.1185967e-03
 -7.7395341e-03 -6.2309131e-03  3.2099907e-03  6.5244636e-03
  3.9348928e-03  6.1989864e-03 -1.9379716e-03 -3.1880890e-03
  1.8118040e-04 -3.2064358e-03 -5.6074671e-03 -7.7905846e-03
  6.6793067e-03 -1.0812877e-03 -1.8171814e-03 -7.8331875e-03
  9.4995452e-03  9.0606377e-04  1.7273453e-03  2.3793464e-03
 -7.5878641e-03  1.6705500e-03  2.9338575e-03 -8.4726093e-03
  4.9864855e-03  2.4170033e-03  7.6136836e-03  5.0369864e-03
 -3.0234582e-03 -7.1736607e-03  7.1774693e-03  2.0400637e-03
  5.3549553e-03  6.5307980e-03  2.0769490e-03 -6.0772793e-03
  3.2567947e-05  8.2871271e-03 -6.2156320e-03  9.5482618e-03]","tf.Tensor(
[[-0.092785    0.07938054 -0.19641659 ... -0.627193    0.18999392
   0.06691398]
 [-0.28493604 -0.32884026 -0.4405104  ... -0.28492853  0.36846527
   0.15229392]
 [ 0.40979958 -0.36777586 -0.22452313 ... -1.2318147  -0.23012753
  -0.12635826]
 ...
 [ 0.13556945 -0.19190815  0.2543066  ... -0.44414258  0.02073934
  -0.25487784]
 [-0.07189766 -0.25361466  0.05606119 ... -0.31068388  0.14355688
  -0.15613376]
 [ 0.3541932  -0.18299058  0.26658955 ... -0.28250942 -0.01019578
  -0.2435573 ]], shape=(34, 768), dtype=float32)"
6,6,553590835850514433,1,hostagetaker in supermarket siege killed reports say parisattacks ,"[ 1.2662345e-02 -9.6800625e-03 -9.7335558e-03 -6.5007724e-04
  7.8858100e-03 -3.6972931e-03  5.2108191e-04  7.0947846e-03
 -7.0501044e-03 -4.4546290e-03 -5.7443380e-03 -1.9009928e-03
  3.6687383e-03  7.1359114e-03  8.4608132e-03 -2.0573747e-03
  2.5341620e-05  5.5270381e-03  1.2385749e-02  3.7209666e-03
  4.1508768e-03 -9.1991639e-03 -6.2987953e-03 -3.4612517e-03
  7.0306577e-04 -2.5164220e-03 -8.0456864e-03  6.0844091e-03
  1.0513917e-02 -4.6234033e-03  9.9004284e-03 -3.0556155e-04
 -4.9014618e-03  1.5965564e-03 -1.0405113e-03 -2.6081896e-03
 -8.9347898e-04  4.9696658e-03  1.7469733e-03 -1.1377111e-02
 -1.2879581e-03 -6.7893309e-03  1.1132366e-02  1.1921340e-02
 -2.8439795e-03  2.8848581e-04 -6.7976876e-03 -4.3098796e-03
  9.2657022e-03 -5.2170479e-03 -5.8117649e-03 -7.6292134e-03
 -1.2948610e-03 -5.3308043e-04  2.2988506e-03  9.0580722e-03
 -6.5738829e-03  1.5832235e-03  1.0867785e-02 -1.8813199e-03
  2.9468471e-03  1.0617578e-02  1.2657134e-02  1.1581922e-02
 -8.5818386e-03  1.0892348e-02  4.8358464e-03  1.1904929e-02
 -5.6437110e-03  2.8170145e-03  5.6787608e-03 -2.6994268e-03
  6.6036428e-03  4.1813962e-03  1.1597058e-02 -1.5299648e-04
 -2.6778448e-03  8.1788264e-03 -1.1403923e-02 -5.4999776e-03
 -5.7943678e-03 -1.9987153e-03 -5.9275520e-03  7.9727359e-03
  1.0113073e-02 -5.2005933e-05 -6.9879017e-05  7.1442616e-03
  8.4912544e-04 -8.3067911e-03  9.2704436e-03 -2.5440089e-03
  2.9118031e-03  1.1753395e-02  2.2825447e-03  2.4823458e-03
  6.7220428e-03 -5.3377543e-04  7.0789061e-03 -3.4514407e-03]","tf.Tensor(
[[-0.5647903  -0.37265307 -0.06173156 ... -0.4232409   0.29276747
   0.25968468]
 [ 0.1846241  -0.7712729   0.19410281 ... -0.2609032   0.37401438
   0.22884008]
 [-0.5257164  -0.98664457  0.5178102  ... -0.5624591   0.32912627
  -0.56545776]
 ...
 [ 0.10792471 -0.39067662  0.31587136 ... -0.19164771 -0.21650286
   0.11677144]
 [ 0.04641933 -0.33330154  0.29566175 ... -0.1721074  -0.25400347
   0.16466078]
 [ 0.11596288 -0.38414878  0.3092454  ... -0.12675917 -0.2681948
   0.14172715]], shape=(34, 768), dtype=float32)"
7,7,622858454949040128,0,in heaven chickfila is open on sundays,"[ 1.7019115e-02 -1.4470506e-02 -6.7873932e-03 -2.3725901e-02
 -3.6449570e-03  1.0607242e-02 -1.2344928e-03 -9.1212206e-03
  5.7852161e-03  1.4660541e-03 -1.4019743e-02  4.9738414e-03
  1.2940488e-02 -2.2966664e-02  6.5118046e-03 -6.1224732e-03
 -8.9137405e-03 -3.5742379e-03  1.2782567e-02  3.6799069e-03
 -2.3829062e-02  9.1967154e-03 -1.3156904e-02  3.0456525e-03
 -1.9162681e-02  1.5386340e-02 -1.0446769e-02 -1.9864306e-02
 -3.6772958e-03  1.3269056e-03 -5.0405110e-03  7.5030164e-03
 -6.2861611e-05  4.1643312e-04 -1.7337436e-02  1.0945869e-02
 -3.1239230e-02 -1.3213303e-02 -2.5044756e-02 -1.4458922e-02
  5.8266716e-03 -2.3969365e-03  2.2233201e-02  2.0781519e-02
  2.3613133e-02 -1.8425815e-02  1.0209105e-02 -2.4832483e-02
 -1.1435467e-02 -1.0491863e-02  3.8169019e-04 -3.4836149e-03
  2.7654895e-03 -6.5528899e-03 -2.4096126e-02 -3.9929380e-03
 -2.8461466e-02  2.2511503e-03 -1.4231813e-03 -3.6736850e-02
  2.7447980e-02 -1.8725602e-03  2.0016942e-02  1.9330284e-02
 -1.1687906e-02  9.9894532e-04 -1.2839145e-02 -9.3927229e-06
 -2.6677437e-02 -5.7599330e-03 -7.7487081e-03  1.2779762e-02
  6.1752354e-03 -2.1167200e-03  8.5827913e-03  2.2291891e-02
 -1.2154281e-02  1.1790080e-02 -1.6984036e-02  2.7141545e-02
  1.6922388e-02 -8.5190274e-03 -2.7924396e-02  4.4879890e-03
 -1.0648176e-04  7.8177005e-03  3.6434140e-03  2.1347301e-02
 -5.4621310e-03 -1.5055776e-02  4.5127939e-03  5.7938290e-03
 -4.9742027e-03  1.7788064e-02  2.3594666e-03 -9.7514484e-03
  8.6658206e-03  1.9353675e-02  1.3900768e-03 -1.9897515e-02]","tf.Tensor(
[[-0.36926252  0.01568231  0.0812517  ... -0.25347942  0.490665
   0.25952187]
 [-0.280229    0.15450403 -0.20713116 ... -0.08714867  0.89525825
   0.19530202]
 [ 0.23849407  0.60847247  0.02983634 ...  0.02382458  0.6541752
  -0.3435834 ]
 ...
 [ 0.10432556 -0.1715544   0.238436   ...  0.39960307  0.01115261
   0.2239112 ]
 [ 0.03748966 -0.1269593   0.19131947 ...  0.35830826  0.02202094
   0.07821304]
 [ 0.00585478 -0.23160753  0.27934998 ...  0.43130583  0.05333159
   0.26756692]], shape=(34, 768), dtype=float32)"
8,8,656870311057575936,0,the 5 most accurate predictions from the decadejumping adventures in backtothefuture ,"[-5.8568123e-04  2.5175328e-04  5.1628188e-03  9.0893675e-03
 -9.3829278e-03 -7.2068283e-03  6.5436452e-03  9.1183195e-03
 -5.0774692e-03 -3.8647037e-03  7.4330210e-03 -1.5764677e-03
 -4.5613311e-03  6.5965024e-03 -4.9557216e-03 -1.8396004e-03
  2.9320423e-03  1.0006244e-03 -8.3555281e-03 -9.5925406e-03
  7.3606428e-03  5.1244101e-03  6.8931240e-03  8.0191769e-04
  6.4278590e-03 -3.4416390e-03 -9.8976237e-04  5.8495374e-03
 -7.6421853e-03 -3.9519407e-03 -7.5669442e-03 -9.3827414e-04
  9.6108010e-03 -7.4294996e-03 -2.3744777e-03 -1.9595714e-03
  8.1438143e-03 -5.9961202e-03  7.8107609e-05 -4.7835815e-03
 -9.6514942e-03  4.9797259e-03 -8.9351339e-03 -4.4316687e-03
 -3.0079518e-05 -3.3770056e-04 -7.7403658e-03  9.6696503e-03
  5.0673094e-03  9.3053635e-03 -8.2214251e-03  4.4707833e-03
 -4.1589634e-03  8.3472196e-04  8.5481917e-03 -4.4913432e-03
  4.5513683e-03 -6.8987329e-03 -3.5907680e-03  9.4874585e-03
 -1.5880790e-03  2.7671168e-04 -4.1349032e-03 -7.7605429e-03
 -1.5172545e-03  2.5438759e-03 -9.0017897e-04  5.6413249e-03
 -2.7983710e-03  2.2972501e-03  5.5538253e-03  8.4884018e-03
 -1.4403980e-03 -9.2612104e-03  4.4205780e-03  6.2251446e-04
  7.5105121e-03 -8.2925911e-04 -2.6616910e-03 -8.8150362e-03
 -8.9209294e-04  2.8127597e-03  5.4522790e-03  7.1500498e-03
 -5.7983426e-03  1.7909728e-03  6.1491951e-03 -4.8318175e-03
 -3.1200850e-03  6.8304385e-03  1.7159227e-03  2.6676338e-04
  3.5157357e-03  2.1112387e-04  9.8050637e-03  5.1618339e-03
 -8.9716176e-03 -7.1081193e-03  8.8313321e-04  6.4424700e-03]","tf.Tensor(
[[-0.25404328  0.029153    0.3332727  ... -0.32872435  0.1764994
   0.12932089]
 [-0.72598964 -0.3379239   0.5627251  ... -0.22502887  0.584599
   0.07896639]
 [-0.6407715  -0.01342231  1.2095718  ...  0.19336143  0.4061772
  -0.17518732]
 ...
 [-0.20639351 -0.03892521  0.22535697 ... -0.02129189  0.06866179
   0.02678952]
 [-0.20726626 -0.03925181  0.14357245 ...  0.01200705  0.03607044
  -0.04605246]
 [-0.27667987 -0.20043951  0.23888318 ...  0.05396759  0.0124087
  -0.04889363]], shape=(34, 768), dtype=float32)"
9,9,616311563071434753,1,apologies if youve already seen a crow riding a bald eagle today image phoo chan story ,"[ 0.00069339  0.00479098 -0.0139847  -0.02441243 -0.00274558  0.00571268
 -0.01410002 -0.01815185 -0.00833944  0.00328161 -0.00058514 -0.00661027
  0.00737083 -0.01204948  0.00690594 -0.01788492  0.00556474 -0.01930678
  0.0159849   0.01085806 -0.00053077  0.0054287  -0.00766927  0.00881055
 -0.01868555  0.01170757 -0.00920297 -0.0157291   0.01365492 -0.01181972
 -0.00414038  0.00234768 -0.00197127  0.01425805  0.00010468  0.01126766
 -0.01287607  0.00187853 -0.01604989 -0.00843991 -0.00328926  0.00037555
  0.02236103  0.01149188  0.00099412 -0.00988098  0.01364054 -0.02157012
 -0.01215319 -0.01309156  0.00103501  0.01229596  0.01200583  0.00933799
  0.00472429 -0.00774519 -0.00955442 -0.00652674 -0.00170309 -0.02169118
  0.0126663  -0.00700917  0.0027646   0.01933338 -0.001546   -0.00425738
 -0.0126552  -0.00619741 -0.01235465  0.00856256 -0.0040852  -0.00296572
  0.00709342  0.00243008 -0.00131053  0.01774537 -0.00711148  0.01137834
 -0.01070377  0.00475631 -0.00188209 -0.01151036 -0.01494839  0.00251279
  0.00536703  0.01200501 -0.00747574  0.02164762  0.00411354  0.00126481
 -0.00230178 -0.00111568 -0.00997525  0.00175828  0.00150588 -0.00385457
 -0.00798851  0.01656962  0.0027746  -0.01711242]","tf.Tensor(
[[-0.11264994  0.26056978 -0.39022297 ... -0.12298494  0.38023692
   0.38768947]
 [-0.06359594  0.2957278  -0.06914341 ...  0.09124462  0.259988
   0.42515618]
 [-0.8832958   0.4693664   0.04731109 ...  0.47343558 -0.41697964
   0.37717995]
 ...
 [ 0.18758588 -0.1951711   0.1585581  ...  0.08516166  0.11039849
  -0.1029205 ]
 [ 0.05537627 -0.33315718  0.01503689 ...  0.11752076  0.11887015
   0.16420864]
 [-0.27964944  0.00820287  0.43619663 ... -0.3018761   0.27061963
   0.12259441]], shape=(34, 768), dtype=float32)"
